player_id,canonical_name,normalized_name,first_seen_at_utc,last_seen_at_utc,first_match_id,latest_match_id,source
679,Pavel Gireth,pavel gireth,2026-08-15T04:56:02.320079+00:00,2026-08-27T05:42:14.019117+00:00,20496,305578,api.league-pro.com
680,Frantisek Pusch,frantisek pusch,2026-08-15T04:56:22.377783+00:00,2026-08-19T05:42:00.207513+00:00,22921,304138,api.league-pro.com
681,Marek Fabini,marek fabini,2026-08-15T04:56:32.536057+00:00,2026-08-15T13:50:54.463489+00:00,24468,291826,api.league-pro.com
682,Daniel Brumlich,daniel brumlich,2026-08-15T04:56:55.781268+00:00,2026-08-15T13:36:10.119379+00:00,28388,202226,api.league-pro.com
683,Jan Mecl,jan mecl,2026-08-15T04:56:15.303043+00:00,2026-08-27T17:42:13.969462+00:00,22018,305773,api.league-pro.com
684,Martin Huk,martin huk,2026-08-15T04:46:20.168694+00:00,2026-08-27T17:42:13.969462+00:00,20114,305880,api.league-pro.com
685,Ales Bayer,ales bayer,2026-08-15T04:56:14.165804+00:00,2026-08-15T13:51:29.255373+00:00,21909,301798,api.league-pro.com
687,Jan Kanera,jan kanera,2026-08-15T04:46:20.168694+00:00,2026-08-27T17:42:13.969462+00:00,20102,305773,api.league-pro.com
688,Erik Mares,erik mares,2026-08-15T04:46:20.168694+00:00,2026-08-27T17:42:13.969462+00:00,20102,305992,api.league-pro.com
689,Vaclav Hruska,vaclav hruska,2026-08-15T04:46:21.030211+00:00,2026-08-15T13:38:58.001114+00:00,20159,219123,api.league-pro.com
690,Josef Kutifel,josef kutifel,2026-08-15T04:56:04.000142+00:00,2026-08-15T05:02:41.691391+00:00,20682,87968,api.league-pro.com
692,Martin Protiva,martin protiva,2026-08-15T04:56:05.218203+00:00,2026-08-15T04:56:08.880642+00:00,20823,21365,api.league-pro.com
694,Jan Zajicek,jan zajicek,2026-08-15T04:46:21.030211+00:00,2026-08-27T05:42:14.019117+00:00,20164,305629,api.league-pro.com
695,Tomas Prosa,tomas prosa,2026-08-15T04:56:24.742999+00:00,2026-08-18T17:42:13.984290+00:00,23235,304010,api.league-pro.com
699,Josef Medek,josef medek,2026-08-15T04:46:21.030211+00:00,2026-08-27T05:42:14.019117+00:00,20170,305629,api.league-pro.com
700,Martin Parizek,martin parizek,2026-08-15T04:56:04.432118+00:00,2026-08-20T05:42:14.080274+00:00,20758,304214,api.league-pro.com
701,Petr Silhan,petr silhan,2026-08-15T04:56:20.907928+00:00,2026-08-15T04:56:44.138638+00:00,22736,26550,api.league-pro.com
702,Lukas Boruvka,lukas boruvka,2026-08-15T04:56:02.320079+00:00,2026-08-27T05:42:14.019117+00:00,20491,305630,api.league-pro.com
