match_id,tournament_id,tournament_name,league_band,scheduled_start_utc,scheduled_start_mountain,scheduled_start_prague,official_status,normalized_status,player_1_id,player_1_name,player_2_id,player_2_name,player_1_sets,player_2_sets,winner_player_id,winner_player_name,set_scores,completed_at_utc,first_seen_at_utc,last_seen_at_utc,source_snapshot_id,source,data_quality,content_hash
296007,35076,Tournament A14. League 800-900,800-900,2026-07-09T00:00:12.247000+00:00,2026-07-08T18:00:12.247000-06:00,2026-07-09T02:00:12.247000+02:00,3,COMPLETED,1649,Martin Sopko,685,Ales Bayer,3,1,1649,Martin Sopko,,2026-07-09T00:20:02.767000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,ea4bd88e428cbb5b55d2322419edf283a8a003a2b81934bde0f85f86588491f2
296099,35087,Tournament A17. League 600-700,600-700,2026-07-09T00:01:27.620000+00:00,2026-07-08T18:01:27.620000-06:00,2026-07-09T02:01:27.620000+02:00,3,COMPLETED,1425,Petr Zmuda,934,Jiri Plachy,3,2,1425,Petr Zmuda,,2026-07-09T00:28:57.403000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,d7a5215931fa0acc4caf0bf4e8592b0cfce3d750991ca20ec608ff24b62ed4fd
296008,35076,Tournament A14. League 800-900,800-900,2026-07-09T00:30:13.409000+00:00,2026-07-08T18:30:13.409000-06:00,2026-07-09T02:30:13.409000+02:00,3,COMPLETED,1692,Petr Sebera,925,Vladimir Cermak,3,1,1692,Petr Sebera,,2026-07-09T00:48:03.087000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,731f5a58872bbc6ae33c128379efafcff431a561384ae6188521b83dc18a9bbe
295964,35071,Tournament A12. League 600-700,600-700,2026-07-09T00:30:21.868000+00:00,2026-07-08T18:30:21.868000-06:00,2026-07-09T02:30:21.868000+02:00,3,COMPLETED,798,Radek Bartunek,1344,Petr Picek,1,3,1344,Petr Picek,,2026-07-09T00:50:32.275000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,4fbdf7ac8995fb97177816cae253121a3ec2604c7c05b057826f5380e45b79b3
296100,35087,Tournament A17. League 600-700,600-700,2026-07-09T00:31:17.014000+00:00,2026-07-08T18:31:17.014000-06:00,2026-07-09T02:31:17.014000+02:00,3,COMPLETED,822,Jaroslav Prokupek,1260,Pavel Fojt,3,0,822,Jaroslav Prokupek,,2026-07-09T00:41:51.524000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,2cb4dfd5a469e3aed46dc38d8f7d5cfa18348e3b1c7c7295d38b80ba00bb75cc
296009,35076,Tournament A14. League 800-900,800-900,2026-07-09T01:00:04.699000+00:00,2026-07-08T19:00:04.699000-06:00,2026-07-09T03:00:04.699000+02:00,3,COMPLETED,685,Ales Bayer,715,Karel Brozik,3,0,685,Ales Bayer,,2026-07-09T01:17:11.119000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,a6b59e451994bdf59f57487b6e2226559f667c2ca3e3d24679a716433c96e841
295965,35071,Tournament A12. League 600-700,600-700,2026-07-09T01:00:16.073000+00:00,2026-07-08T19:00:16.073000-06:00,2026-07-09T03:00:16.073000+02:00,3,COMPLETED,805,Ondrej Kucirek,1078,Kyryl Darin,0,3,1078,Kyryl Darin,,2026-07-09T01:14:34.625000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,a8c59ba9873b57c35f900244f5cd6ec192cb851d1bd22bb2d65ad2739617dd44
296101,35087,Tournament A17. League 600-700,600-700,2026-07-09T01:00:17.180000+00:00,2026-07-08T19:00:17.180000-06:00,2026-07-09T03:00:17.180000+02:00,3,COMPLETED,934,Jiri Plachy,1679,Jiri Dedek,3,2,934,Jiri Plachy,,2026-07-09T01:33:34.558000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,3f2ae3d00cd7c7a219e3c88be2853cd1f88501259ec2431cabb41ec9bac43dea
296010,35076,Tournament A14. League 800-900,800-900,2026-07-09T01:30:01.576000+00:00,2026-07-08T19:30:01.576000-06:00,2026-07-09T03:30:01.576000+02:00,3,COMPLETED,925,Vladimir Cermak,1649,Martin Sopko,3,0,925,Vladimir Cermak,,2026-07-09T01:48:13.310000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,36db742a84861e229bd2e04a7b1c0fd3fcbddfd31e196825631121d63efb2aa2
295966,35071,Tournament A12. League 600-700,600-700,2026-07-09T01:30:08.710000+00:00,2026-07-08T19:30:08.710000-06:00,2026-07-09T03:30:08.710000+02:00,3,COMPLETED,1344,Petr Picek,1690,Alexander Mikuska,1,3,1690,Alexander Mikuska,,2026-07-09T01:47:02.171000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,083bcf4dc7c15a1896547a2d9dbbb98aaeb65ad021c001fe95f0d970f38a8920
296102,35087,Tournament A17. League 600-700,600-700,2026-07-09T01:35:03.627000+00:00,2026-07-08T19:35:03.627000-06:00,2026-07-09T03:35:03.627000+02:00,3,COMPLETED,1260,Pavel Fojt,1425,Petr Zmuda,3,2,1260,Pavel Fojt,,2026-07-09T01:54:27.874000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,2767c8728f39cc3b46ded82ef022584c33468b15db6be74e8e46d35f94225b26
295967,35071,Tournament A12. League 600-700,600-700,2026-07-09T02:00:08.878000+00:00,2026-07-08T20:00:08.878000-06:00,2026-07-09T04:00:08.878000+02:00,3,COMPLETED,805,Ondrej Kucirek,798,Radek Bartunek,3,1,805,Ondrej Kucirek,,2026-07-09T02:20:11.183000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,8822decdb70365343c8d5f142f545a750fc724f693f2cb4059a44e2f319b64b0
296011,35076,Tournament A14. League 800-900,800-900,2026-07-09T02:00:12.554000+00:00,2026-07-08T20:00:12.554000-06:00,2026-07-09T04:00:12.554000+02:00,3,COMPLETED,685,Ales Bayer,1692,Petr Sebera,2,3,1692,Petr Sebera,,2026-07-09T02:18:25.523000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,a869db29d80e48b93fc96e04221701d7b6ccc9b4b5a172f8a3b57f7dcc1a0b1f
296103,35087,Tournament A17. League 600-700,600-700,2026-07-09T02:00:20.250000+00:00,2026-07-08T20:00:20.250000-06:00,2026-07-09T04:00:20.250000+02:00,3,COMPLETED,934,Jiri Plachy,822,Jaroslav Prokupek,3,2,934,Jiri Plachy,,2026-07-09T02:20:43.355000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,98c3ba47c2eb4b117b89496aa716e214ad12dace7d1ba4691362e23918bb7ddd
296104,35087,Tournament A17. League 600-700,600-700,2026-07-09T02:30:03.729000+00:00,2026-07-08T20:30:03.729000-06:00,2026-07-09T04:30:03.729000+02:00,3,COMPLETED,1425,Petr Zmuda,1679,Jiri Dedek,2,3,1679,Jiri Dedek,,2026-07-09T02:59:27.065000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,90e5f0bfd65f10634f71e923928fe167b4e39b959b7e8d589fa5e85d578f4501
296012,35076,Tournament A14. League 800-900,800-900,2026-07-09T02:30:03.741000+00:00,2026-07-08T20:30:03.741000-06:00,2026-07-09T04:30:03.741000+02:00,3,COMPLETED,1649,Martin Sopko,715,Karel Brozik,3,1,1649,Martin Sopko,,2026-07-09T02:44:02.422000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,0f398d6f315c3b76481c6929cf2b9b4bc90d8119cd43e73c3481501da03cf967
295968,35071,Tournament A12. League 600-700,600-700,2026-07-09T02:30:13.574000+00:00,2026-07-08T20:30:13.574000-06:00,2026-07-09T04:30:13.574000+02:00,3,COMPLETED,1690,Alexander Mikuska,1078,Kyryl Darin,1,3,1078,Kyryl Darin,,2026-07-09T02:45:28.688000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,3be02c11cefd3c3689015c16f284876dbf5a8eb04129cdf7dd3e3fc205df2516
296013,35076,Tournament A14. League 800-900,800-900,2026-07-09T03:00:05.321000+00:00,2026-07-08T21:00:05.321000-06:00,2026-07-09T05:00:05.321000+02:00,3,COMPLETED,1649,Martin Sopko,925,Vladimir Cermak,1,3,925,Vladimir Cermak,,2026-07-09T03:24:51.928000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,959268b82b4289b020e8437a798ffdd87d00776da8175d23184186f6bd59b07a
295969,35071,Tournament A12. League 600-700,600-700,2026-07-09T03:00:13.724000+00:00,2026-07-08T21:00:13.724000-06:00,2026-07-09T05:00:13.724000+02:00,3,COMPLETED,805,Ondrej Kucirek,1344,Petr Picek,3,0,805,Ondrej Kucirek,,2026-07-09T03:13:00.623000+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,94fc5334a1c9d3f326ab8f0ad8fa5b20d223a1978f396b690ecb0a1160a19951,api.league-pro.com,OK,0f7330d80dc4f53067304c7fe0405e3a67d9ef934a09cceb80f4276737c92935
